01012345678$4532112233445566$123$Ahmed Yasser$BanqueMisr$123$12/27$12000.750000
01012345678$4000111122223333$321$Ahmed Yasser$CIB$321$06/29$5000.000000
01123456789$5321456789123456$456$Sara Mohamed$CIB$456$05/26$10300.000000
01123456789$4111222233334444$654$Sara Mohamed$HSBC$654$09/28$12000.000000
01123456789$4777888899990000$987$Sara Mohamed$QNB$987$01/31$3000.000000
01234567890$4123789456123789$789$Omar Hassan$QNB$789$09/28$23050.400000
01098765432$4789652314789652$321$Mona Adel$AlexBank$321$11/25$5400.100000
01098765432$4333444455556666$147$Mona Adel$CIB$147$08/27$9500.000000
01111111111$4012789456123098$654$Youssef Ehab$HSBC$654$07/29$120000.000000
01111111111$4555666677778888$951$Youssef Ehab$QNB$951$04/28$30000.000000
01111111111$4999000011112222$258$Youssef Ehab$BanqueMisr$258$02/30$10000.000000
01222222222$4987123456789012$852$Nour Tarek$CIB$852$03/27$7600.550000
01033333333$4222333444555666$951$Khaled Samy$BanqueMisr$951$01/30$999.990000
01033333333$4999888877776666$258$Khaled Samy$HSBC$258$12/29$4000.000000
01144444444$4333444455556666$357$Laila Fathy$QNB$357$08/26$18750.000000
01255555555$4555666677778888$159$Hassan Mahmoud$AlexBank$159$04/28$4300.750000
01255555555$4888999900001111$753$Hassan Mahmoud$CIB$753$11/30$6000.000000
01255555555$4000222233334444$369$Hassan Mahmoud$HSBC$369$06/31$2000.000000
01066666666$4666777788889999$753$Dina Sherif$HSBC$753$10/27$67000.200000
